group_id,seq,is_chiitoi
0028d7e551,"[35, 39, 44, 78, 30, 1, 31, 19, 28, 7]",0
0028d7e552,"[35, 40, 44, 78, 32, 27, 31, 19, 19, 26]",0
0028d7e553,"[35, 41, 44, 78, 18, 10, 16, 28, 17]",0
0028d7e560,"[35, 38, 44, 65, 30, 32, 27, 18]",0
0028d7e561,"[35, 39, 44, 65, 9, 18, 32, 7, 33, 1, 31]",0
0028d7e562,"[35, 40, 44, 65, 17, 8, 8, 7]",0
0028d7e563,"[35, 41, 44, 65, 26, 17, 32, 8, 30, 18, 10, 23, 0, 14]",0
0029172e00,"[34, 38, 44, 49, 33, 31, 30, 27, 26, 10, 25, 31, 27, 13, 8, 16, 27]",0
0029172e01,"[34, 39, 44, 49, 29, 30, 33, 18, 28, 32, 30, 16, 29, 9]",0
0029172e02,"[34, 40, 44, 49, 27, 29, 9, 1, 16, 6, 10, 6]",0
0029172e03,"[34, 41, 44, 49, 28, 8, 33, 0, 0, 31, 17, 7]",0
0029172e10,"[34, 38, 44, 73, 29, 27, 18, 17, 0, 32]",0
0029172e100,"[35, 38, 44, 66, 27, 33, 17, 10, 30, 31, 7, 0]",0
0029172e101,"[35, 39, 45, 66, 29, 1, 18, 26, 0, 32, 4, 33, 26]",0
0029172e102,"[35, 40, 44, 66, 30, 32, 28, 16, 0, 23, 3, 20]",0
0029172e103,"[35, 41, 44, 66, 26, 0, 28, 8, 30, 29]",0
0029172e11,"[34, 39, 44, 73, 27, 32, 16, 18, 1]",0
0029172e110,"[35, 38, 44, 46, 33, 32, 22, 27, 27, 7, 33, 30]",0
0029172e111,"[35, 39, 44, 46, 27, 32, 18, 24, 11, 17, 4, 17, 7]",0
0029172e112,"[35, 40, 44, 46, 30, 0, 29, 29, 12, 10, 7, 3, 2, 17, 28, 31]",0
0029172e113,"[35, 41, 44, 46, 28, 33, 22, 9, 25, 15, 0]",0
0029172e12,"[34, 40, 44, 73, 30, 32, 25, 21, 1, 16, 17, 0, 25, 20, 17, 26]",0
0029172e13,"[34, 41, 44, 73, 27, 33]",0
0029172e20,"[34, 38, 44, 57, 29, 31, 27, 32, 18, 8, 15, 16, 16, 30, 2]",0
0029172e21,"[34, 39, 44, 57, 8, 0, 31, 16, 10]",0
0029172e22,"[34, 40, 44, 57, 0, 27, 31, 33, 3, 24]",0
0029172e23,"[34, 41, 44, 57, 31, 32, 33, 29, 27, 17, 19, 28]",0
0029172e30,"[34, 38, 44, 66, 9, 33, 7, 8, 0]",0
0029172e31,"[34, 39, 44, 66, 32, 25, 27, 4]",0
0029172e32,"[34, 40, 44, 66, 32, 30, 31, 33, 28, 8]",0
0029172e33,"[34, 41, 44, 66, 33, 31, 29]",0
0029172e40,"[34, 38, 44, 64, 30, 27, 28, 25, 10, 17, 22, 20, 2]",0
0029172e41,"[34, 39, 44, 64, 27, 26, 12, 10, 23, 16, 31]",0
0029172e42,"[34, 40, 44, 64, 32, 33]",0
0029172e43,"[34, 41, 44, 64, 32, 26, 30, 28, 16, 18]",0
0029172e50,"[34, 38, 44, 56, 8, 31, 21, 7, 33, 18, 1]",0
0029172e51,"[34, 39, 44, 56, 28, 33, 7, 32, 1]",0
0029172e52,"[34, 40, 44, 56, 9, 0, 8, 7, 4, 22, 15, 32, 1, 25, 16]",0
0029172e53,"[34, 41, 44, 56, 33, 28, 18, 7]",0
0029172e60,"[34, 38, 44, 51, 17, 16, 31, 33, 24, 28]",0
0029172e61,"[34, 39, 44, 51, 33, 31, 29, 27, 0, 9]",0
0029172e62,"[34, 40, 44, 51, 18, 26, 25]",0
0029172e63,"[34, 41, 44, 51, 30, 26, 18, 0, 25, 19]",0
0029172e70,"[35, 38, 44, 77, 26, 30, 23, 23, 6, 5, 1, 20, 0]",0
0029172e71,"[35, 39, 45, 77, 30, 33, 7, 2, 0, 9, 5, 21, 26, 0, 17, 6]",1
0029172e72,"[35, 40, 44, 77, 27, 27, 29, 0, 28, 8, 6, 7]",0
0029172e73,"[35, 41, 45, 77, 29, 33, 18, 30, 30, 33, 12, 31, 18, 22, 22, 8]",0
0029172e80,"[35, 38, 44, 51, 18, 31, 21, 32, 29, 29, 26, 18, 20, 20, 26, 14, 20]",0
0029172e81,"[35, 39, 44, 51, 29, 33, 31, 28, 8, 33, 27, 26, 18, 16]",0
0029172e82,"[35, 40, 44, 51, 19, 33, 31, 20, 22, 8, 19]",0
0029172e83,"[35, 41, 44, 51, 18, 0, 30, 32, 7, 16, 10, 13]",0
0029172e90,"[35, 38, 44, 68, 26, 33, 31]",0
0029172e91,"[35, 39, 44, 68, 28, 17, 16, 8, 0, 11, 20, 23]",1
0029172e92,"[35, 40, 44, 68, 29, 27, 8, 18, 30, 28, 15, 15, 16, 23]",0
0029172e93,"[35, 41, 44, 68, 13, 32, 30, 15, 10, 8, 20, 17, 17, 31]",0
003d700d00,"[34, 38, 44, 73, 26, 29, 31, 1, 21, 31, 6, 20, 3, 6, 17, 17, 28]",0
003d700d01,"[34, 39, 44, 73, 26, 29, 32, 27]",0
003d700d02,"[34, 40, 44, 73, 18, 30, 8, 29, 9, 0, 21, 3, 26, 17]",0
003d700d03,"[34, 41, 44, 73, 2, 33, 24, 9]",0
003d700d10,"[34, 38, 44, 52, 30, 18, 29, 31, 17, 32, 0, 20, 33, 16]",0
003d700d11,"[34, 39, 44, 52, 28, 33, 9]",0
003d700d12,"[34, 40, 44, 52, 30, 28, 27, 15, 26, 16, 10, 23, 15, 21]",0
003d700d13,"[34, 41, 44, 52, 30, 27, 18, 29, 9, 32, 8]",0
003d700d20,"[34, 38, 44, 49, 9, 28, 25, 27, 33, 5, 27, 3, 28, 19]",0
003d700d21,"[34, 39, 44, 49, 7, 6, 0, 14, 6, 10, 28, 29]",0
003d700d22,"[34, 40, 44, 49, 28]",0
003d700d23,"[34, 41, 44, 49, 0, 26, 31, 25, 32, 11, 11, 9, 8, 7]",0
003d700d30,"[34, 38, 44, 50, 19, 27, 12, 23, 11, 22, 25, 31, 19]",0
003d700d31,"[34, 39, 44, 50, 17, 26, 27, 6, 0, 1, 31, 30, 10]",0
003d700d32,"[34, 40, 44, 50, 29, 33, 30, 27, 18, 14, 9]",0
003d700d33,"[34, 41, 44, 50, 30, 25, 7, 21]",0
003d700d40,"[35, 38, 44, 46, 29, 33, 0, 19, 8, 17, 6, 30]",0
